"","Name","Reviewer","Date","Rating","Content","Review"
"11","the meg 2","jhmoondance",2021-11-13,5," mega jaws
","this movie was similar to jaws apart from the under-sea action. the megaladon was actually very realistic n the cgi was amazing.the actors did a great job with their characters n were all likeable.there were some tense moments n a little bit of suspense but overall it was a straight up film.the cinematography was brilliant.everything was pretty much predictable n the ending was too.i recommend this movie if you like creature features, action n suspense."
"12","the meg 2","ba_harrison",2019-11-08,1," not quite a megalodon't, but not the mega success i had hoped for.
","i first saw jaws in 1975 at the tender age of seven; it scared the hell out of me then, and is an exhilarating ride to this day. the meg, on the other hand, is a formulaic, big-budget b-movie that fails to get the pulse pounding, despite it's prehistoric shark being three times as big as bruce, spielberg's iconic great white.jason statham stars as deep-sea rescue expert jonas taylor, who is brought to a high-tech facility to help save three scientists who have become trapped in a sub at the bottom of the sea after being attacked by something unseen. jonas's mission results in the successful extraction of two of the boffins (one of whom is his ex-wife), but in doing so, he releases a very hungry megalodon from the depths.directed by jon turteltaub (cool runnings, national treasure), the meg is slick but completely vapid popcorn entertainment that proves that bigger isn't necessarily better. the plot offers few surprises and little in the way of imagination, and statham is his usual stoic self, indistinguishable from any of his other movie roles. bingbing li adds a bit of glamour as pretty scentist suyin (this is an american/chinese co-production, so the film features plenty of asian actors) and rainn wilson is fun as billionaire morris (destined to become shark fodder), but most of the cast are forgettable. as far as the other stars are concerned - the megs (for there are more than one) - they are fairly impressive cgi creations, but this being a 12a certificate, their attacks don't result in anything too graphic.as a big fan of shark movies, i had such high hopes when the meg was first announced; what a shame that the finished film is so unremarkable and lacking in bite."
"13","the meg 2","mhorg2018",2018-08-13,3," stupid enough to be on the syfy channel
","how did this not end up on the syfy channel? this is one hackneyed, stupid movie. basically while exploring the marianas trench, a gigantic shark, the megaldon or some such is released. previously to this a deep rescue submersible encounters it and the main guy, jason stratham is ignored. he gets called back to rescue others which is when this stupid movie really gets rolling. the effects are so-so changing from scene to scene. the best thing is when the little yorkie who goes for a swim survives. this movie is a great video for how not to remain safe on any type of boat. no one wears a life vest, or any other survival gear. the story is barely above the worthless garbage shown on the syfy channel. this is really just one stupid movie. i'm sure it'll show up on tv in a matter of months, if not weeks."
"14","the meg 2","dpb0402",2018-08-16,5," worst dialogue ever.
","honestly this film has not only the worst dialogue of any movie this summer/year. it is the worst dialogue i have ever heard in a bad movie ever. deep blue sea, the shallows, and jaws 3 all had better dialogue than this cliche title.the room directed by tommy wiseau and this movie go hand and hand for some of the garbage lines and pacing. halfway through this movie when it appears to be over, i wished it was finally over, however i knew that there was no way they would end it there.save your money. this will be streamable in 4 months and on sale for $15."
"15","the meg 2","jared_andrews",2018-08-13,6," mostly a mega-disappointment
","there's a scene during the meg when i expected a character to say, ""you're gonna need a bigger boat."" sadly, no one does. so, in a story that's so clearly reminiscent of jaws, an opportunity for a moment of self-aware fun is wasted. it's emblematic of the entire movie - all the pieces are in place for something entertaining to occur, but the payoff never comes. the meg has all the ingredients needed for a summer blockbuster and then some. it features a megalodon, a 90-foot-long prehistoric mega-shark that also happens to be one of the most perfectly named animals ever, jason statham, one of the marquee action movie stars of our time, and rainn wilson, who gave us one of the funniest television characters of the past 20 years: dwight schrute on the office.take my money now. as renee zellweger says in jerry maguire, ""you had me at mega-shark."" boasting this embarrassment of riches, the movie practically screams fun. with all these assets at their disposal, it's easy to envision filmmakers bringing to life this concept's illustrious potential on the big screen. there could be actors hamming it up in a stupendously silly summer epic flooded with ridiculous one-liners and ""are they really doing this?"" moments. it could be glorious.there's just one problem: that's not what this movie is. rather than lean into the absurdity and have a little fun, the meg tries to sell a story about a tortured man of the sea who is now seeking revenge on the animal that attacked him (no, herman melville did not receive a screenwriting credit). the story is not affecting enough to elicit any noteworthy emotional responses, it's not smart enough to be scientifically sound and it's not over-the-top enough to reach a level of pure popcorn entertainment. everything comes up short. instead of a towering tidal wave, it brings only a gentle rolling tide.
 
jason statham plays the revenge-seeking seaman named captain ahab, erm, i mean, jonas taylor. after he was called crazy for believing that a giant unseen animal attacked his underwater vessel, he's summoned back into action by billionaire doofus, morris (wilson), who funds a deep-sea research facility. morris needs jonas to save his team of researchers, who are currently stranded at the bottom of the mariana trench, where they hoped to discover hidden marine life.the megalodon, or as his friends call him, the meg, eventually emerges from the depths and wreaks havoc on the facility and all sorts of fancy exploration vehicles because, apparently, megalodons love the taste of metal. the meg later swaggers his way over to sanya bay in china, where he can capture local swimmers and the film's producers can capture the foreign movie-viewing market. it takes 90 minutes of unnecessary scientific exposition to reach an enjoyable stretch. the plot revolves around a 90-foot prehistoric shark reappearing in 2018 - there's no reason to attempt to make any of this seem plausible. in addition to the superfluous fake science scenes, there's an insufferable amount of undeserved emotionality. again, this story should focus on the giant shark, not half-hearted romances and pseudo-dramatic deaths. the eye-roll-worthy sentimentality clashes with the adjacent raucous action and silly jokes (yes, there are some of those, just not nearly enough). weepy drama has no place here. this should be a zero-tears movie.it's hard to tell exactly what the filmmakers were going for; the goal should have been so obvious, but there's clearly uncertainty, which explains why the tone is so uneven. the result is a mixed bag with too much emphasis on the wrong elements. it's not quite a mega-disappointment, but it's definitely a missed opportunity."
"16","the meg 2","leofwine_draca",2018-12-16,7," moderately entertaining
","the meg is the latest movie in hollywood's obsession with killer shark movies; this ranks beneath the likes of jaws and even deep blue sea, although it's moderately entertaining as a one-off watch. if you're looking for quality in the genre these days then i'd recommend going for the lower-budgeted likes of the reef or bait. the meg follows the fortunes of the crew of a scientific base in the middle of the ocean when they accidentally reawaken a megalodon from its prehistoric slumber; this massive shark proceeds to dominate and eat all and sundry. this is a co-production between hollywood and china, so expect chinese supporting actors and more than a little propaganda. jason statham does his action man routine with ease and is given able support from an up-for-it cast, while the action scenes are certainly larger-than-life, although with all the cgi they're hardly realistic. an undercurrent of humour makes some of the more ludicrous scenes easier to swallow. it's hardly great, but it does the job as a piece of switch-off-the-brain viewing."
"17","the meg 2","calicodreamin",2021-01-08,10," it's a megladon
","all in all a pretty good shark thriller. the storyline was well developed and at least somewhat plausible. the shark action kept up and the acting was only mildly cheesy. good shark cgi which was just past too much."
"18","the meg 2","fusionx8",2020-11-30,1," jason statham movie - i enjoyed it
","i honestly really enjoyed this movie. at one point, it was anticlimactic but then a twist which renewed it's self.if you have seen other jason statham movies, then you know what to expect. this is a bit different than his other roles - there is no fighting military or marital arts style.the movie has some cute moments, sad moments and a lot of suspense, beautiful graphics, dark comedy. there are a few moments of 'why would you do that?' or 'that's not how that works' but it is an enjoyable flick and i will watch it again.this is a break up from other shark attack movies, or movies like this. there are some characters (one in particular) that don't fit. there are even some stereotypical concepts from other movies incorporated that were a bit rushed. (trying to stay away from spoilers)character development was rushed and we get our typical back story of the hero's journey which makes up just about all movies and books, stories of overcoming odds.
1. ordinary world
2. call to adventure
3. refusal of the call
4. meeting with the mentor
5. crossing the first threshold
6. tests, allies and enemies
7. approach to the inmost cave
8. the ordeal
9. reward
10. the road back
11. the resurrection
12. return with the elixirbut that just moved us faster to the suspense which is more of what this movie is about. lot's of movies spend a lot of time on character development and when they finally paint the full picture of character they have to rush the plot or make it a 2hr+ movie.this was an enjoyable flick i will watch again and again.
i would give this movie a 7 out of 10 because there are only a 100-200 or so movies i have, or would re-watch (i own around 2204 movies/shows). -- but i feel this movie has been rated harshly and therefore i give it a 10."
"19","the meg 2","pjpatio",2018-09-30,6," i think my iq went down just from watching this movie
","i know, it is a shark movie. it is supposed to be cheesy and ridiculous. but i cannot help to hate this movie. maybe because i had high expectations? maybe because jason statham is one of my favorite actor?this movie is just predictable and full of cliche. the one liners that is supposed to make the audience laugh failed miserable and most of the time cringe worthy. the cgi is sci-fi channel worthy at best. in addition, soon as i see a chinese production company at its opening, i already had a bad feeling. the chinese actors can't act for their lives especially the little girl.if you are reading this and you havent seen the movie, do yourself a favor and save two hours of your life. and yes, this is my first review, the movie sucks so much that it triggers me to make one."
"20","the meg 2","sleepin_dragon",2018-08-10,8," outrageous, equally shocking and fun, i enjoyed.
","what was i expecting, jason statham in a film about a monster shark, the ultimate apex predator, megalodon.every stereotype i had expected came true here, plenty of silliness, action sequences galore, jumpy moments, and a few decent special effects.you know what you're getting here, it is nonsense from the start, the plot doesn't really hold water, but it's a fun watch, and interesting to think that these beasts once existed.you watch the great jaws and get subtlety, you watch this and get brash. the whole feel of the film is rather silly, it's produced in a way that makes you think they weren't taking it too seriously, despite statham's valiant efforts.it's a film i've come to enjoy over the last few years, it's not to be taken seriously, i don't think that was ever the intention, switch off and enjoy.it's fun, 6/10."
"21","the meg 2","hellostranger-32317",2021-08-09,7," entertaining, good characters.
","okay, so it's no jaws. it's not a classic shark movie that's going to terrify you to ever get in the water again, with steven spielberg behind the camera.however, it's entertaining, humorous, and is an original storyline.the characters are likable, the cgi is decent, and who doesn't love a good love story?i'm not a jason s. fan, but i actually liked him in this.ignore the negative nancy's and actually see this for yourself."
"22","the meg 2","nogodnomasters",2018-08-27,1," that living fossil ate my friend!
","jason statham vs a megalodon is not a fair fight. they should have given jason an artificial limb like dwayne johnson in ""skyscraper"" to make the battle more even. a thermal layer keeps the megalodon at a depth lower than 11,000 feet. a private company violates that layer and releases megalodon. in a scene, they entice jason to help in order to rescue his ex-wife. apparently, his relationship with his ex is a lot different than mine. i believe she is an alien as her liver is on her left side. add a hot asian chick and cute daughter for asian audience appeal. i know nuclear subs cannot survive at 11,000 feet without being crushed. not sure how effective you can enter the sub withing flooding it at that depth. nor did i understand the paper filter respirators with a diving suit. it looked good but was more of a ""what is wrong with this picture"" type of scene. when it comes to megalodons, it is okay to leave a man behind. guide: no swearing, sex, or nudity."
"23","the meg 2","dahita-54585",2018-10-15,8," terrible movie
","terrible movie, not worth your time. from the very beginning, you get the feeling the new 2018 template for us movies is used again. here's the recipe:make sure every skin color is present (it literally become a game of ""check"" during the character introduction phase)add as many chinese-related elements as possible (let's not miss the asian market!)add the new character in style for 2018: the tattooed lesbian with an attitude that hates man, and shows it's ok to taunt them all day (pretty much the same as daniella pineda in jurassic world fallen kingdom)add kids with a 40 year-old vocabulary and mindsetadd a bad-boy, lonely hero that will save the day but make sure he's on part with the tattooed chick when they meet (you wouldn't want her to give the impression she's getting along with a man!)worry about the scenario (if any spare time!)i would be very interested to understand who thought it would be great to have the tattooed chick leave dwight hanging when he goes for a hand-shake during the team introduction. he's the one funding the whole underwater research facility and mission and politely says hi, but apparently that's not enough to show proper manners anymore. had to stop the movie about 25 minutes in."
"24","the meg 2","silberfalke",2018-08-10,7," that happens when studios interfere to much
","as someone who really loves the first ""meg"" novels i could not wait to see the movie. it was clear to me, that it will be different, and that from the moment on the trailer hit the screens. and i was okay with it and lowered my expectations. i also love shark movies since ""jaws"" (which i saw in theaters, just to say ;)) and i watched all of them since then, besides the asylum productions...""the meg"" could have been a very entertaining and fun watch, despite the differences. and in some parts it was/is. hell, i was and i am even okay with the cast. but i am totally sure the studio prevented it from all it could have been with its theatrical cut, that just plays it safe and makes the ""movie meg"" just a movie that you won't remember after a few days.and that is a shame and a waisted opportunity!i still give it 8 stars because i liked the cast, the music, the effects (they are not half as bad as some here are stating) and yes: i was entertained enough to like it. but i was all set to love it, and that did not happen.rough cuts and jumps and way to less of a thrill but more of a loud action vehicle. there are enough successful movies nowadays that show at the box office that they score because studio bosses were risk taking.so all we got is a popcorn flick above average. at least an original one :)and hey: that's something in the times of uninspired sequels, prequels and reboots."
"25","the meg 2","jprizzotto",2021-09-03,NA," not as bad as people says
","good and intense movie,some guys thinks this is a copy of the classic steven spielberg's movie ""jaw""well,still not one of the best intense movies of warner bros."
"26","the meg 2","meathookcinema",2018-08-11,1," stick to jaws and piranha
","theres 'good bad' and theres 'bad bad'. this is definitely 'bad bad'.the megalodon was a huge shark thought to be extinct. a research expedition into deeper levels of the ocean finds that ol' meg is still alive. megsy then decides to move away from these deeper ocean depths and invade the shallower depths of the sea which the expedition came from in search of human chow.this film contains the worst cgi since escape from la which just reinforces to me that this was made to make money and for no other reason. john carpenter's film at least had the excuse of being made when cgi as we know it was in it's infancy.the cgi in the meg was so bad that a scene that should have contained a huge jump scare looked so fake and artificial just before said scare that you just knew something was going to happen. and it did. and zero forks were given.this film also contains some of the worst most stereotypical and generic characters that i've ever seen- the cutesy little girl (far too irritating for her own good and deserves to become shark fodder), the edgy female scientist (tattoos, lara croft hair, probably a muff diver), the comedic black character (he makes jovial jemima look restrained. time to send back your naacp membership card, page kennedy).rainn wilson has a face for radio, not for film. ''why has he been cast in such a role?'' i thought whilst watching this cinematic abortion. then it hit me. his brash billionaire character who is in part responsible for bringing the meg into our waters seems to be based on elon musk- someone else with a face for radio and a personality just as rancid.jason statham is a great action hero. that is until he opens his mouth and undoes all of his good work. i have a theory- the more dialogue statham has to deliver in a film, the worse the film is.we get the obligatory scene of jason just out of the shower and only wearing a towel. so what. a google search for such fare is cheaper and more painfree than watching this movie.there are also some of the most awkward 'comedy' moments that i've ever seen. lines that aren't funny and have never been funny being delivered completely ineptly.the film also changes gear and intent about two thirds of the way through. from being a suspense filled horror film (which it utterly fails at) the film then thinks it can master the 'sharknado' sub-genre of 'oh so camp, tongue in cheek' horror movies (it can't even master this- some feat).the meg feels like a really anaemic, formulaic and boring straight to video movie from the early 90's that has had millions thrown at it and given a theatrical release. it's out of time and out of place. a bit like the megalodon really."
"27","the meg 2","fella_shibby",2018-09-23,8," statham n a prehistoric shark sounds good fun uh.
","this movie is pretty long but not boring.if only they included more kills then it would hav been even more fun.as a fan of statham, i enjoyed his screen time but this time statham ain't kicking n punching.the plot is similar to piranha 3d where ancient/extinct species wreak havoc.if only the gore/kills were also similar to piranha.i thot the last 30 mins of meg will b similar to piranha in terms of mayhem n gore when the creatures reaches the shore but alas.in terms of best shark films : jaws, deep blue sea, bait, shallows, meg.meg is last on the list cos there aint any good kills n tension is nada but it is a fun movie, especially cos of statham.whenever shark films r discussd, samuel jackson's death scene from deep blue sea comes to mind but this film has nothing memorable.i am generous with the ratings only cos of statham."
